path_id,point_index,x,y
14,8,432.26,241.48
14,9,433.25,241.34
14,10,434.18,241.71
14,11,434.59,242.62
14,12,435.46,243.11
14,13,436.33,243.60
14,14,436.79,244.48
14,15,437.73,244.82
15,0,311.17,71.54
15,1,310.93,72.51
15,2,311.73,73.11
15,3,312.68,73.43
15,4,313.65,73.66
15,5,314.62,73.40
15,6,315.14,72.55
15,7,315.54,71.63
15,8,316.48,71.30
15,9,317.07,70.49
15,10,317.97,70.05
15,11,318.87,69.61
15,12,319.85,69.77
15,13,320.58,70.46
15,14,320.98,71.37
15,15,321.89,71.79
16,0,293.07,177.05
16,1,292.16,176.62
16,2,291.94,175.65
16,3,292.87,175.29
16,4,293.25,174.36
16,5,293.77,173.51
16,6,294.73,173.24
16,7,295.57,172.71
16,8,296.57,172.77
16,9,297.39,173.34
16,10,298.01,174.13
16,11,298.59,174.94
16,12,299.18,175.75
16,13,299.94,176.40
16,14,300.94,176.48
16,15,301.91,176.72
17,0,474.41,370.67
17,1,474.89,369.80
17,2,475.82,369.42
17,3,476.19,368.49
17,4,476.77,367.68
17,5,477.74,367.44
17,6,478.65,367.01
17,7,479.63,366.81
17,8,480.31,367.54
17,9,480.66,368.48
17,10,481.54,368.96
17,11,481.84,369.91
17,12,482.74,370.35
17,13,483.71,370.60
17,14,484.66,370.93
17,15,485.66,370.89
18,0,43.21,500.08
18,1,43.45,499.11
18,2,42.92,498.26
18,3,42.06,497.75
18,4,41.11,497.45
18,5,40.45,496.70
18,6,40.70,495.73
18,7,41.44,495.06
18,8,41.49,494.06
18,9,42.24,493.40
18,10,43.12,492.92
18,11,44.11,492.80
18,12,45.10,492.96
18,13,45.79,493.68
18,14,46.75,493.96
18,15,47.21,494.85
19,0,317.21,47.20
19,1,318.14,46.84
19,2,319.12,47.04
19,3,320.03,47.46
19,4,320.36,48.41
19,5,321.21,48.93
19,6,321.46,49.90
19,7,322.33,50.39
19,8,323.28,50.69
19,9,324.20,51.09
19,10,325.15,50.78
19,11,325.98,50.22
19,12,326.80,49.65
19,13,327.56,49.00
19,14,327.71,48.01
19,15,328.53,47.44
20,0,653.52,58.59
20,1,652.67,59.11
20,2,652.81,60.10
20,3,653.61,60.70
20,4,653.92,61.65
20,5,654.82,62.10
20,6,655.81,62.25
20,7,656.80,62.19
20,8,657.60,61.59
20,9,658.22,60.81
20,10,658.85,60.03
20,11,659.48,59.25
20,12,660.30,58.68
20,13,661.29,58.52
20,14,662.27,58.70
20,15,662.94,59.45
21,0,162.12,111.18
21,1,162.63,112.05
21,2,162.34,113.00
21,3,161.53,113.58
21,4,161.12,114.50
21,5,160.44,115.23
21,6,160.58,116.22
21,7,161.20,117.01
21,8,161.82,117.79
21,9,162.43,118.58
21,10,163.23,119.18
21,11,164.22,119.37
21,12,165.21,119.25
21,13,165.92,118.55
21,14,166.90,118.36
21,15,167.44,117.52
22,0,395.50,200.55
22,1,394.92,199.73
22,2,395.27,198.80
22,3,395.41,197.81
22,4,396.21,197.21
22,5,396.55,196.27
22,6,397.44,195.83
22,7,398.43,195.69
22,8,399.43,195.78
22,9,400.20,196.41
22,10,400.77,197.23
22,11,401.75,197.42
22,12,402.34,198.23
22,13,403.13,198.84
22,14,403.87,199.51
22,15,404.86,199.68
23,0,184.12,435.92
23,1,183.49,436.69
23,2,184.08,437.50
23,3,184.70,438.28
23,4,185.69,438.41
23,5,186.51,438.97
23,6,187.30,439.59
23,7,188.27,439.34
23,8,188.86,438.53
23,9,189.78,438.14
23,10,190.12,437.20
23,11,190.55,436.29
23,12,191.49,435.96
23,13,192.48,435.81
23,14,193.47,435.73
23,15,194.40,436.12
24,0,378.41,436.11
24,1,378.43,437.11
24,2,379.16,437.80
24,3,379.41,438.77
24,4,380.27,439.28
24,5,381.26,439.42
24,6,382.25,439.28
24,7,382.96,438.58
24,8,383.93,438.34
24,9,384.43,437.47
24,10,384.96,436.63
24,11,385.94,436.41
24,12,386.72,435.79
24,13,387.71,435.65
24,14,388.68,435.92
24,15,389.23,436.76
25,0,774.19,349.92
25,1,773.21,349.71
25,2,772.30,349.29
25,3,771.77,348.44
25,4,771.98,347.47
25,5,772.55,346.65
25,6,773.05,345.78
25,7,773.73,345.05
25,8,774.41,344.31
25,9,775.35,343.96
25,10,776.33,344.18
25,11,777.21,344.64
25,12,777.50,345.60
25,13,778.32,346.17
25,14,779.17,346.69
25,15,779.67,347.56
26,0,182.95,406.07
26,1,182.46,405.20
26,2,181.99,404.31
26,3,181.37,403.52
26,4,181.45,402.53
26,5,182.22,401.89
26,6,183.06,402.44
26,7,183.80,403.11
26,8,184.80,403.04
26,9,185.57,403.67
26,10,185.98,404.58
26,11,186.89,404.99
26,12,187.77,405.46
26,13,188.72,405.13
26,14,189.23,404.28
26,15,189.41,403.29
27,0,61.89,489.99
27,1,61.69,490.97
27,2,60.93,491.61
27,3,59.94,491.77
27,4,59.00,492.12
27,5,58.12,492.59
27,6,57.64,493.47
27,7,58.38,494.15
27,8,59.10,494.84
27,9,59.31,495.82
27,10,60.15,496.36
27,11,61.13,496.56
27,12,62.13,496.52
27,13,62.93,495.92
27,14,63.93,495.86
27,15,64.58,495.11
28,0,765.31,167.91
28,1,765.44,166.92
28,2,765.21,165.94
28,3,765.05,164.96
28,4,765.35,164.01
